Nome do Negócio,Proprietário,Categoria,Descrição,Imagem
Empresa XYZ,Irmão João Silva,Consultoria,Planejamento financeiro e investimentos,💼
Restaurante Sabor & Arte,Irmão Carlos Santos,Gastronomia,Culinária tradicional brasileira,🍽️
Advocacia Oliveira,Irmão Pedro Oliveira,Jurídico,Direito empresarial e civil,⚖️
TechSolutions,Irmão Rafael Costa,Tecnologia,Desenvolvimento de sistemas,💻
Floricultura Flores & Cores,Irmão Fernando Almeida,Comércio,Arranjos florais e presentes,🌸
Contabilidade Segura,Irmão Gustavo Pereira,Contabilidade,Serviços contábeis e fiscais,📊
Clínica Odontológica Sorriso,Irmão Lucas Mendes,Saúde,Tratamentos odontológicos completos,🦷
Construtora Forte,Irmão Paulo Rocha,Construção,Projetos e execução de obras,🏗️
Padaria Pão Quente,Irmão Daniel Costa,Alimentos,Pães, doces e salgados,🍞
Lavanderia Limpeza Total,Irmão Ricardo Souza,Serviços,Lavagem e passadoria de roupas,🧺

